window_size,search_size,overlap,dt,sig2noise_threshold,mse
16,20,12,1.0,2.0,69.06467890194817
8,16,4,1.0,2.0,69.06818853090591
8,32,4,1.0,1.5,69.06818853090591
8,20,4,1.0,2.0,69.06818853090591
16,16,4,1.0,1.5,69.06818853090591
8,48,4,1.0,2.0,69.06818853090591
8,48,4,1.0,1.5,69.06818853090591
16,16,4,1.0,2.0,69.06818853090591
16,16,12,1.0,2.0,69.06818853090591
16,20,8,1.0,2.0,69.06818853090591
16,32,4,1.0,1.5,69.06818853090591
16,20,4,1.0,2.0,69.06818853090591
16,16,8,1.0,2.0,69.06818853090591
16,16,12,1.0,1.5,69.06818853090591
16,16,8,1.0,1.5,69.06818853090591
8,32,4,1.0,2.0,69.06818853090591
32,32,4,1.0,1.5,69.06818853090591
32,32,4,1.0,2.0,69.06818853090591
32,32,8,1.0,2.0,69.06818853090591
32,32,8,1.0,1.5,69.06818853090591
32,32,12,1.0,1.5,69.06818853090591
32,32,16,1.0,2.0,69.06818853090591
32,32,16,1.0,1.5,69.06818853090591
16,48,12,1.0,1.5,69.06818853090591
16,48,4,1.0,1.5,69.06818853090591
16,48,4,1.0,2.0,69.06818853090591
16,48,8,1.0,1.5,69.06818853090591
16,48,8,1.0,2.0,69.06818853090591
16,48,12,1.0,2.0,69.06818853090591
16,32,12,1.0,2.0,69.06818853090591
16,32,8,1.0,2.0,69.06818853090591
16,32,4,1.0,2.0,69.06818853090591
32,48,4,1.0,2.0,69.06818853090591
32,48,4,1.0,1.5,69.06818853090591
32,32,12,1.0,2.0,69.06818853090591
32,48,16,1.0,2.0,69.06818853090591
32,48,12,1.0,2.0,69.06818853090591
32,48,16,1.0,1.5,69.06818853090591
32,48,8,1.0,2.0,69.06818853090591
32,48,8,1.0,1.5,69.06818853090591
16,20,4,1.0,1.5,69.07349892251175
16,32,12,1.0,1.5,69.07742252684139
16,32,8,1.0,1.5,69.0796822085254
8,20,4,1.0,1.5,69.14509865313553
16,20,8,1.0,1.5,69.14715042441259
32,48,12,1.0,1.5,69.1549140019403
8,16,4,1.0,1.5,69.1837962979099
16,20,12,1.0,1.5,69.19225996941577
16,16,4,1.0,1.0,73.31231079145712
16,16,8,1.0,1.0,73.88019164055483
8,16,4,1.0,1.0,75.41796869101968
16,16,12,1.0,1.0,75.52291833893433
16,20,8,1.0,1.0,83.20451917694176
16,20,4,1.0,1.0,83.98686296390626
32,32,4,1.0,1.0,84.01447161535451
32,32,16,1.0,1.0,84.74560896209314
32,32,12,1.0,1.0,85.84371476349789
16,20,12,1.0,1.0,86.05261950206477
32,32,8,1.0,1.0,86.37835446462215
8,20,4,1.0,1.0,87.16767936843496
16,32,8,1.0,1.0,176.3274052184955
16,32,4,1.0,1.0,177.5524955605239
16,32,12,1.0,1.0,179.234875562822
8,32,4,1.0,1.0,180.9602046416983
32,48,8,1.0,1.0,285.9258601121006
32,48,16,1.0,1.0,291.78919494663927
32,48,12,1.0,1.0,294.24373114285316
32,48,4,1.0,1.0,300.162541861917
8,48,4,1.0,1.0,400.90286811209154
16,48,8,1.0,1.0,483.19340084440876
16,48,12,1.0,1.0,510.0524378272415
16,48,4,1.0,1.0,522.7453109120903
